Time resolution is 1 ps
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module tb_top.uut.bram.inst.\native_mem_module.blk_mem_gen_v8_4_7_inst  is using a behavioral model for simulation which will not precisely model memory collision behavior.
Time: 0, State: xxx, Next State: 000, Ena: x, Wea: x, Addra:     x, Douta: 000000, Done: x, Done_in: x, Red: xx, Green: xx, Blue: xx, Red_o: xx, Green_o: xx, Blue_o: xx, Done_out: x
Time: 5, State: 000, Next State: 000, Ena: 0, Wea: 0, Addra:     0, Douta: 000000, Done: 0, Done_in: 0, Red: xx, Green: xx, Blue: xx, Red_o: xx, Green_o: xx, Blue_o: xx, Done_out: x
Time: 15, State: 000, Next State: 000, Ena: 0, Wea: 0, Addra:     0, Douta: 000000, Done: 0, Done_in: 0, Red: xx, Green: xx, Blue: xx, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 0
Time: 20, State: 000, Next State: 001, Ena: 0, Wea: 0, Addra:     0, Douta: 000000, Done: 0, Done_in: 0, Red: xx, Green: xx, Blue: xx, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 0
Time: 25, State: 001, Next State: 010, Ena: 1, Wea: 0, Addra:     0, Douta: 000000, Done: 0, Done_in: 0, Red: xx, Green: xx, Blue: xx, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 0
Time: 35, State: 010, Next State: 011, Ena: 1, Wea: 0, Addra:     0, Douta: 000000, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 0
Time: 45, State: 011, Next State: 100, Ena: 1, Wea: 0, Addra:     0, Douta: 000000, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 45, State: 011, Next State: 100, Ena: 1, Wea: 0, Addra:     0, Douta: 002802, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 55, State: 100, Next State: 001, Ena: 1, Wea: 1, Addra:     0, Douta: 002802, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 65, State: 001, Next State: 010, Ena: 1, Wea: 1, Addra:     1, Douta: 002802, Done: 0, Done_in: 0, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 75, State: 010, Next State: 011, Ena: 1, Wea: 0, Addra:     1, Douta: 002802, Done: 0, Done_in: 1, Red: 02, Green: 28, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 0
Time: 85, State: 011, Next State: 100, Ena: 1, Wea: 0, Addra:     1, Douta: 002802, Done: 0, Done_in: 1, Red: 02, Green: 28, Blue: 00, Red_o: 16, Green_o: 16, Blue_o: 16, Done_out: 1
Time: 95, State: 100, Next State: 001, Ena: 1, Wea: 1, Addra:     1, Douta: 002802, Done: 0, Done_in: 1, Red: 02, Green: 28, Blue: 00, Red_o: 16, Green_o: 16, Blue_o: 16, Done_out: 1
Time: 95, State: 100, Next State: 001, Ena: 1, Wea: 1, Addra:     1, Douta: 000000, Done: 0, Done_in: 1, Red: 02, Green: 28, Blue: 00, Red_o: 16, Green_o: 16, Blue_o: 16, Done_out: 1
Time: 105, State: 001, Next State: 010, Ena: 1, Wea: 1, Addra:     2, Douta: 000000, Done: 0, Done_in: 0, Red: 02, Green: 28, Blue: 00, Red_o: 16, Green_o: 16, Blue_o: 16, Done_out: 1
Time: 115, State: 010, Next State: 011, Ena: 1, Wea: 0, Addra:     2, Douta: 000000, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 0
Time: 125, State: 011, Next State: 100, Ena: 1, Wea: 0, Addra:     2, Douta: 000000, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 135, State: 100, Next State: 001, Ena: 1, Wea: 1, Addra:     2, Douta: 000000, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 135, State: 100, Next State: 001, Ena: 1, Wea: 1, Addra:     2, Douta: 161616, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 145, State: 001, Next State: 010, Ena: 1, Wea: 1, Addra:     3, Douta: 161616, Done: 0, Done_in: 0, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 155, State: 010, Next State: 011, Ena: 1, Wea: 0, Addra:     3, Douta: 161616, Done: 0, Done_in: 1, Red: 16, Green: 16, Blue: 16, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 0
Time: 165, State: 011, Next State: 100, Ena: 1, Wea: 0, Addra:     3, Douta: 161616, Done: 0, Done_in: 1, Red: 16, Green: 16, Blue: 16, Red_o: 12, Green_o: 12, Blue_o: 12, Done_out: 1
Time: 175, State: 100, Next State: 001, Ena: 1, Wea: 1, Addra:     3, Douta: 161616, Done: 0, Done_in: 1, Red: 16, Green: 16, Blue: 16, Red_o: 12, Green_o: 12, Blue_o: 12, Done_out: 1
Time: 175, State: 100, Next State: 001, Ena: 1, Wea: 1, Addra:     3, Douta: 000000, Done: 0, Done_in: 1, Red: 16, Green: 16, Blue: 16, Red_o: 12, Green_o: 12, Blue_o: 12, Done_out: 1
Time: 185, State: 001, Next State: 010, Ena: 1, Wea: 1, Addra:     4, Douta: 000000, Done: 0, Done_in: 0, Red: 16, Green: 16, Blue: 16, Red_o: 12, Green_o: 12, Blue_o: 12, Done_out: 1
Time: 195, State: 010, Next State: 011, Ena: 1, Wea: 0, Addra:     4, Douta: 000000, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 0
Time: 205, State: 011, Next State: 100, Ena: 1, Wea: 0, Addra:     4, Douta: 000000, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 215, State: 100, Next State: 001, Ena: 1, Wea: 1, Addra:     4, Douta: 000000, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 215, State: 100, Next State: 001, Ena: 1, Wea: 1, Addra:     4, Douta: 121212, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 225, State: 001, Next State: 010, Ena: 1, Wea: 1, Addra:     5, Douta: 121212, Done: 0, Done_in: 0, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 235, State: 010, Next State: 011, Ena: 1, Wea: 0, Addra:     5, Douta: 121212, Done: 0, Done_in: 1, Red: 12, Green: 12, Blue: 12, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 0
Time: 245, State: 011, Next State: 100, Ena: 1, Wea: 0, Addra:     5, Douta: 121212, Done: 0, Done_in: 1, Red: 12, Green: 12, Blue: 12, Red_o: 0f, Green_o: 0f, Blue_o: 0f, Done_out: 1
Time: 255, State: 100, Next State: 001, Ena: 1, Wea: 1, Addra:     5, Douta: 121212, Done: 0, Done_in: 1, Red: 12, Green: 12, Blue: 12, Red_o: 0f, Green_o: 0f, Blue_o: 0f, Done_out: 1
Time: 255, State: 100, Next State: 001, Ena: 1, Wea: 1, Addra:     5, Douta: 000000, Done: 0, Done_in: 1, Red: 12, Green: 12, Blue: 12, Red_o: 0f, Green_o: 0f, Blue_o: 0f, Done_out: 1
Time: 265, State: 001, Next State: 010, Ena: 1, Wea: 1, Addra:     6, Douta: 000000, Done: 0, Done_in: 0, Red: 12, Green: 12, Blue: 12, Red_o: 0f, Green_o: 0f, Blue_o: 0f, Done_out: 1
Time: 275, State: 010, Next State: 011, Ena: 1, Wea: 0, Addra:     6, Douta: 000000, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 0
Time: 285, State: 011, Next State: 100, Ena: 1, Wea: 0, Addra:     6, Douta: 000000, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 295, State: 100, Next State: 001, Ena: 1, Wea: 1, Addra:     6, Douta: 000000, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 295, State: 100, Next State: 001, Ena: 1, Wea: 1, Addra:     6, Douta: 0f0f0f, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 305, State: 001, Next State: 010, Ena: 1, Wea: 1, Addra:     7, Douta: 0f0f0f, Done: 0, Done_in: 0, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 315, State: 010, Next State: 011, Ena: 1, Wea: 0, Addra:     7, Douta: 0f0f0f, Done: 0, Done_in: 1, Red: 0f, Green: 0f, Blue: 0f, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 0
Time: 325, State: 011, Next State: 100, Ena: 1, Wea: 0, Addra:     7, Douta: 0f0f0f, Done: 0, Done_in: 1, Red: 0f, Green: 0f, Blue: 0f, Red_o: 0a, Green_o: 0a, Blue_o: 0a, Done_out: 1
